1661,4,4+(4!+(√4*4)!)/4!-4!,4+f{4!+(s4*4)!}{4!}-4!
1661,5,5+(5!-5)/5*(5!-(5!+5!)/5),5+f{5!-5}5*(5!-f{5!+5!}5)
1661,6,6-6/6+√6^6+6!+6!,6-f66+s6^6+6!+6!
1661,7,7+(7*(7!-77)-7)/(7+7+7),7+f{7*(7!-77)-7}{7+7+7}
1661,8,8!/(√(8+8))!-88/8-8,f{8!}{(s{8+8})!}-f{88}8-8
1661,9,(√9)!+√9*(√9)!!-((√9)!!+9!)/(√9)!!,(s9)!+s9*(s9)!!-f{(s9)!!+9!}{(s9)!!}
1662,1,(1+1)*(111+(1+1+1)!!),(1+1)*(111+(1+1+1)!!)
1662,2,222+2*(2+2/2)!!,222+2*(2+f22)!!
1662,3,3!+3!!+3!!+3!^3,3!+3!!+3!!+3!^3
1662,4,(√4+4!)*√√√4^4!-√4,(s4+4!)*s{s{s4}}^{4!}-s4
1662,5,5!/(5+5)+(5+5*5)*55,f{5!}{5+5}+(5+5*5)*55
1662,6,6+√6^6+6!+6!,6+s6^6+6!+6!
1662,7,(7+7)/7*(777+7!)/7,f{7+7}7*f{777+7!}7
1662,8,8+8!/8/8+√((√8+√8)^8),8+f{f{8!}8}8+s{(s8+s8)^8}
1662,9,(√9)!+(√9)!^√9+(√9)!!+(√9)!!,(s9)!+(s9)!^{s9}+(s9)!!+(s9)!!
1663,1,1+(1+1)*(111+(1+1+1)!!),1+(1+1)*(111+(1+1+1)!!)
1663,2,(2+(2^2)!)*√√2^(2^2)!-2/2,(2+(2^2)!)*s{s2}^{(2^2)!}-f22
1663,3,3+(3!!-3!)*3!!/3!^3-3!!,3+f{(3!!-3!)*3!!}{3!^3}-3!!
1663,4,(√4+4!)*√√√4^4!-√4/√4,(s4+4!)*s{s{s4}}^{4!}-f{s4}{s4}
1663,5,55+√(√√(5!/(5+5))^(5!/5))-5!,55+s{s{s{f{5!}{5+5}}}^{f{5!}5}}-5!
1663,6,6/6+6+√6^6+6!+6!,f66+6+s6^6+6!+6!
1663,7,√(7*7^7)-(77+7!)/7-7,s{7*7^7}-f{77+7!}7-7
1663,8,8!/(√(8+8))!-8-8-8/8,f{8!}{(s{8+8})!}-8-8-f88
1663,9,√9+(9!/(√9)!-(√9)!!)/(√9)!*(√9)!,s9+f{f{9!}{(s9)!}-(s9)!!}{(s9)!*(s9)!}
1664,1,(1+1)*(1+111+(1+1+1)!!),(1+1)*(1+111+(1+1+1)!!)
1664,2,(2+(2^2)!)*√√2^(2^2)!,(2+(2^2)!)*s{s2}^{(2^2)!}
1664,3,(3!+3!)^3-(3!/3)^3!,(3!+3!)^3-(f{3!}3)^{3!}
1664,4,(√4+4!)*√√√4^4!,(s4+4!)*s{s{s4}}^{4!}
1664,5,((5+5+5)*555-5)/5,f{(5+5+5)*555-5}5
1664,6,√(6+6)^6-((6+6)/6)^6,s{6+6}^6-(f{6+6}6)^6
1664,7,(√√√7+√√√7)^7*(√√√7+√√√7-√√√7/7),(s{s{s7}}+s{s{s7}})^7*(s{s{s7}}+s{s{s7}}-f{s{s{s7}}}7)
1664,8,8!/(√(8+8))!-8-8,f{8!}{(s{8+8})!}-8-8
1664,9,9+√9*(√9)!!-((√9)!!+9!)/(√9)!!,9+s9*(s9)!!-f{(s9)!!+9!}{(s9)!!}
1665,1,(1+1+1+1+11)*111,(1+1+1+1+11)*111
1665,2,(2+(2^2)!)*√√2^(2^2)!+2/2,(2+(2^2)!)*s{s2}^{(2^2)!}+f22
1665,3,3!!+3^3!+3!^3,3!!+3^{3!}+3!^3
1665,4,√4/√4+(√4+4!)*√√√4^4!,f{s4}{s4}+(s4+4!)*s{s{s4}}^{4!}
1665,5,(5-(5+5)/5)*555,(5-f{5+5}5)*555
1665,6,6+6*(√(6^6)+(6+6!)/(6+6)),6+6*(s{6^6}+f{6+6!}{6+6})
1665,7,(7/7+7+7)*777/7,(f77+7+7)*f{777}7
1665,8,8/8+8!/(√(8+8))!-8-8,f88+f{8!}{(s{8+8})!}-8-8
1665,9,9+(√9)!^√9+(√9)!!+(√9)!!,9+(s9)!^{s9}+(s9)!!+(s9)!!
1666,1,(1+1)*(1+1+111+(1+1+1)!!),(1+1)*(1+1+111+(1+1+1)!!)
1666,2,2+(2+(2^2)!)*√√2^(2^2)!,2+(2+(2^2)!)*s{s2}^{(2^2)!}
1666,3,(3/3+3!)*(3!!-3!)/3,(f33+3!)*f{3!!-3!}3
1666,4,√4+(√4+4!)*√√√4^4!,s4+(s4+4!)*s{s{s4}}^{4!}
1666,5,(5!/5-5-5)*(5!-5/5),(f{5!}5-5-5)*(5!-f55)
1666,6,(6!/6*6-6)*(6!-6)/6,(f{6!}{6*6}-6)*f{6!-6}6
1666,7,7*(7!-√7^7*(√7+√7)),7*(7!-s7^7*(s7+s7))
1666,8,√√(8+8)+8!/(√(8+8))!-8-8,s{s{8+8}}+f{8!}{(s{8+8})!}-8-8
1666,9,((√9)!!-(√9)!)*(√9-(√9)!/9),((s9)!!-(s9)!)*(s9-f{(s9)!}9)
1667,1,(1+1/(1+1))*(1+1111)-1,(1+f1{1+1})*(1+1111)-1
1667,2,2+(2+(2^2)!)*√√2^(2^2)!+2/2,2+(2+(2^2)!)*s{s2}^{(2^2)!}+f22
1667,3,(3!!-3+3!*(3!!-3!))/3,f{3!!-3+3!*(3!!-3!)}3
1667,4,((√4*4)!-4!)/4!-4!/√4,f{(s4*4)!-4!}{4!}-f{4!}{s4}
1667,5,5!+(5!-55)/5*(5!-5/5),5!+f{5!-55}5*(5!-f55)
1667,6,66/6+√6^6+6!+6!,f{66}6+s6^6+6!+6!
1667,7,√(7*7^7)-7!/7-7-7,s{7*7^7}-f{7!}7-7-7
1667,8,(√(8+8))!/8+8!/(√(8+8))!-8-8,f{(s{8+8})!}8+f{8!}{(s{8+8})!}-8-8
1667,9,(9!-√9*(√9)!!)/(√9)!^√9-√9,f{9!-s9*(s9)!!}{(s9)!^{s9}}-s9
1668,1,(1+1/(1+1))*(1+1111),(1+f1{1+1})*(1+1111)
1668,2,2+2+(2+(2^2)!)*√√2^(2^2)!,2+2+(2+(2^2)!)*s{s2}^{(2^2)!}
1668,3,(3!!+3!*(3!!-3!))/3,f{3!!+3!*(3!!-3!)}3
1668,4,4+(√4+4!)*√√√4^4!,4+(s4+4!)*s{s{s4}}^{4!}
1668,5,5!/(5+5)*(5!/5-5+5!),f{5!}{5+5}*(f{5!}5-5+5!)
1668,6,6+6+√6^6+6!+6!,6+6+s6^6+6!+6!
1668,7,√(7*7^7)-(7!-7)/7-7-7,s{7*7^7}-f{7!-7}7-7-7
1668,8,8!/(√(8+8))!-8-√(8+8),f{8!}{(s{8+8})!}-8-s{8+8}
1668,9,9!/(√9)!^√9-9-√9,f{9!}{(s9)!^{s9}}-9-s9
1669,1,(1+(1+1+1)!)!/(1+1+1)-11,f{(1+(1+1+1)!)!}{1+1+1}-11
1669,2,(2*2^2)!/(2^2)!-22/2,f{(2*2^2)!}{(2^2)!}-f{22}2
1669,3,(3!!-33)/3+3!!+3!!,f{3!!-33}3+3!!+3!!
1669,4,(√4*4)!/4!-(4!-√4)/√4,f{(s4*4)!}{4!}-f{4!-s4}{s4}
1669,5,5!/5-5+(5+5*5)*55,f{5!}5-5+(5+5*5)*55
1669,6,(6!-66+6!)/6+6!+6!,f{6!-66+6!}6+6!+6!
1669,7,7*7!/(7+7+7)-77/7,7*f{7!}{7+7+7}-f{77}7
1669,8,8!/(√(8+8))!-88/8,f{8!}{(s{8+8})!}-f{88}8
1669,9,√9+((√9)!!-(√9)!)*(√9-(√9)!/9),s9+((s9)!!-(s9)!)*(s9-f{(s9)!}9)
1670,1,1+(1+(1+1+1)!)!/(1+1+1)-11,1+f{(1+(1+1+1)!)!}{1+1+1}-11
1670,2,2222-(2+2)!!/22!,2222-f{(2+2)!!}{22!}
1670,3,(3!!-3)*3!!/3!^3-3!!,f{(3!!-3)*3!!}{3!^3}-3!!
1670,4,√4+4+(√4+4!)*√√√4^4!,s4+4+(s4+4!)*s{s{s4}}^{4!}
1670,5,(5+5)*((5!-5+5!)/5+5!),(5+5)*(f{5!-5+5!}5+5!)
1670,6,(6+6)/6*((6+6!)/6-6+6!),f{6+6}6*(f{6+6!}6-6+6!)
1670,7,√(7*7^7)-(77+7!)/7,s{7*7^7}-f{77+7!}7
1670,8,8!/(√(8+8))!-8-√√(8+8),f{8!}{(s{8+8})!}-8-s{s{8+8}}
1670,9,(9!-√9*(√9)!!)/(√9)!^√9,f{9!-s9*(s9)!!}{(s9)!^{s9}}
1671,1,1+1+(1+(1+1+1)!)!/(1+1+1)-11,1+1+f{(1+(1+1+1)!)!}{1+1+1}-11
1671,2,2+(2*2^2)!/(2^2)!-22/2,2+f{(2*2^2)!}{(2^2)!}-f{22}2
1671,3,3+(3!!+3!*(3!!-3!))/3,3+f{3!!+3!*(3!!-3!)}3
1671,4,((√4*4)!-4!)/4!-4-4,f{(s4*4)!-4!}{4!}-4-4
1671,5,5+(5!/5-5-5)*(5!-5/5),5+(f{5!}5-5-5)*(5!-f55)
1671,6,(666+6!)/6+6!+6!,f{666+6!}6+6!+6!
1671,7,7+(√√√7+√√√7)^7*(√√√7+√√√7-√√√7/7),7+(s{s{s7}}+s{s{s7}})^7*(s{s{s7}}+s{s{s7}}-f{s{s{s7}}}7)
1671,8,8!/(√(8+8))!-8-8/8,f{8!}{(s{8+8})!}-8-f88
1671,9,9!/(√9)!^√9-9,f{9!}{(s9)!^{s9}}-9
1672,1,(1+1)*11*(11*(1+(1+1+1)!)-1),(1+1)*11*(11*(1+(1+1+1)!)-1)
1672,2,2*22*(2+(2+2/2)!^2),2*22*(2+(2+f22)!^2)
1672,3,(3!!-3!)/3-3!+3!!+3!!,f{3!!-3!}3-3!+3!!+3!!
1672,4,(√4*4)!/4!-4-4,f{(s4*4)!}{4!}-4-4
1672,5,55/5*(((5+5)/5)^5+5!),f{55}5*((f{5+5}5)^5+5!)
1672,6,6+6+(6!-6)*6!/√6^6-6!,6+6+f{(6!-6)*6!}{s6^6}-6!
1672,7,7*7!/(7+7+7)-7-7/7,7*f{7!}{7+7+7}-7-f77
1672,8,8!/(√(8+8))!-8,f{8!}{(s{8+8})!}-8
1672,9,√9/√9+9!/(√9)!^√9-9,f{s9}{s9}+f{9!}{(s9)!^{s9}}-9
1673,1,11+(1+1)*(111+(1+1+1)!!),11+(1+1)*(111+(1+1+1)!!)
1673,2,(222/2)^2-√(√√22^(2^2)!),(f{222}2)^2-s{s{s{22}}^{(2^2)!}}
1673,3,(3/3+3!)*(3!!-3)/3,(f33+3!)*f{3!!-3}3
1673,4,((√4*4)!-4!)/4!-4-√4,f{(s4*4)!-4!}{4!}-4-s4
1673,5,√(√√(5!/(5+5))^(5!/5))-55,s{s{s{f{5!}{5+5}}}^{f{5!}5}}-55
1673,6,(6/6+6)*(6!-6+6!)/6,(f66+6)*f{6!-6+6!}6
1673,7,7*7!/(7+7+7)-7,7*f{7!}{7+7+7}-7
1673,8,8/8+8!/(√(8+8))!-8,f88+f{8!}{(s{8+8})!}-8
1673,9,((√9)!!-√9)*(√9-(√9)!/9),((s9)!!-s9)*(s9-f{(s9)!}9)
1674,1,(1+(1+1+1)!)!/(1+1+1)-(1+1+1)!,f{(1+(1+1+1)!)!}{1+1+1}-(1+1+1)!
1674,2,(2*2^2)!/(2^2)!-2-2-2,f{(2*2^2)!}{(2^2)!}-2-2-2
1674,3,3*(3!!-3^3*3!),3*(3!!-3^3*3!)
1674,4,(√4*4)!/4!-4-√4,f{(s4*4)!}{4!}-4-s4
1674,5,5!/5+(5+5*5)*55,f{5!}5+(5+5*5)*55
1674,6,(6!+6!)/6-6+6!+6!,f{6!+6!}6-6+6!+6!
1674,7,√(7*7^7)-7!/7-7,s{7*7^7}-f{7!}7-7
1674,8,√√(8+8)+8!/(√(8+8))!-8,s{s{8+8}}+f{8!}{(s{8+8})!}-8
1674,9,9!/(√9)!^√9-(√9)!,f{9!}{(s9)!^{s9}}-(s9)!
1675,1,11+(1+1)*(1+111+(1+1+1)!!),11+(1+1)*(1+111+(1+1+1)!!)
1675,2,22/2+(2+(2^2)!)*√√2^(2^2)!,f{22}2+(2+(2^2)!)*s{s2}^{(2^2)!}
1675,3,(3!!-3!)/3-3+3!!+3!!,f{3!!-3!}3-3+3!!+3!!
1675,4,((√4*4)!-4!)/4!-4,f{(s4*4)!-4!}{4!}-4
1675,5,5*(5!-5*5+5!+5!),5*(5!-5*5+5!+5!)
1675,6,(6+6!+6!)/6-6+6!+6!,f{6+6!+6!}6-6+6!+6!
1675,7,√(7*7^7)-(7!-7)/7-7,s{7*7^7}-f{7!-7}7-7
1675,8,(√(8+8))!/8+8!/(√(8+8))!-8,f{(s{8+8})!}8+f{8!}{(s{8+8})!}-8
1675,9,√9/√9+9!/(√9)!^√9-(√9)!,f{s9}{s9}+f{9!}{(s9)!^{s9}}-(s9)!
1676,1,((1+(1+1+1)!)!-11-1)/(1+1+1),f{(1+(1+1+1)!)!-11-1}{1+1+1}
1676,2,(2*2^2)!/(2^2)!-2-2,f{(2*2^2)!}{(2^2)!}-2-2
1676,3,(3!!-3)/3+3!!-3+3!!,f{3!!-3}3+3!!-3+3!!
1676,4,(√4*4)!/4!-4,f{(s4*4)!}{4!}-4
1676,5,5/5+5*(5!-5*5+5!+5!),f55+5*(5!-5*5+5!+5!)
1676,6,6!/6*6+√6^6+6!+6!,f{6!}{6*6}+s6^6+6!+6!
1676,7,√(7*7^7)-7-(7!-7-7)/7,s{7*7^7}-7-f{7!-7-7}7
1676,8,8!/(√(8+8))!-√(8+8),f{8!}{(s{8+8})!}-s{8+8}
1676,9,(√9)!/√9+9!/(√9)!^√9-(√9)!,f{(s9)!}{s9}+f{9!}{(s9)!^{s9}}-(s9)!
1677,1,(1+(1+1+1)!)!/(1+1+1)-1-1-1,f{(1+(1+1+1)!)!}{1+1+1}-1-1-1
1677,2,(2*2^2)!/(2^2)!-2-2/2,f{(2*2^2)!}{(2^2)!}-2-f22
1677,3,3!!/3-3+3!!+3!!,f{3!!}3-3+3!!+3!!
1677,4,((√4*4)!-4!)/4!-√4,f{(s4*4)!-4!}{4!}-s4
1677,5,5!-5+(√√5^(5!/5)-5)/(5+5),5!-5+f{s{s5}^{f{5!}5}-5}{5+5}
1677,6,(6+6!/6)/6+√6^6+6!+6!,f{6+f{6!}6}6+s6^6+6!+6!
1677,7,7+√(7*7^7)-(77+7!)/7,7+s{7*7^7}-f{77+7!}7
1677,8,8!/(√(8+8))!-(√(8+8))!/8,f{8!}{(s{8+8})!}-f{(s{8+8})!}8
1677,9,9!/(√9)!^√9-√9,f{9!}{(s9)!^{s9}}-s9
1678,1,(1+(1+1+1)!)!/(1+1+1)-1-1,f{(1+(1+1+1)!)!}{1+1+1}-1-1
1678,2,(2*2^2)!/(2^2)!-2,f{(2*2^2)!}{(2^2)!}-2
1678,3,(3!!-3!)/3+3!!+3!!,f{3!!-3!}3+3!!+3!!
1678,4,(√4*4)!/4!-√4,f{(s4*4)!}{4!}-s4
1678,5,5+√(√√(5!/(5+5))^(5!/5))-55,5+s{s{s{f{5!}{5+5}}}^{f{5!}5}}-55
1678,6,(6+6)/6*((6!-6)/6+6!),f{6+6}6*(f{6!-6}6+6!)
1678,7,(7+7*(7!-7))/(7+7+7),f{7+7*(7!-7)}{7+7+7}
1678,8,8!/(√(8+8))!-√√(8+8),f{8!}{(s{8+8})!}-s{s{8+8}}
1678,9,((√9)!!-(√9)!)/√9+(√9)!!+(√9)!!,f{(s9)!!-(s9)!}{s9}+(s9)!!+(s9)!!
1679,1,(1+(1+1+1)!)!/(1+1+1)-1,f{(1+(1+1+1)!)!}{1+1+1}-1
1679,2,(2*2^2)!/(2^2)!-2/2,f{(2*2^2)!}{(2^2)!}-f22
1679,3,(3!!-3)/3+3!!+3!!,f{3!!-3}3+3!!+3!!
1679,4,((√4*4)!-4!)/4!,f{(s4*4)!-4!}{4!}
1679,5,5!+((5!-55)*5!-5)/5,5!+f{(5!-55)*5!-5}5
1679,6,(6!-6+6!)/6+6!+6!,f{6!-6+6!}6+6!+6!
1679,7,7*7!/(7+7+7)-7/7,7*f{7!}{7+7+7}-f77
1679,8,8!/(√(8+8))!-8/8,f{8!}{(s{8+8})!}-f88
1679,9,((√9)!!-√9)/√9+(√9)!!+(√9)!!,f{(s9)!!-s9}{s9}+(s9)!!+(s9)!!
1680,1,(1+(1+1+1)!)!/(1+1+1),f{(1+(1+1+1)!)!}{1+1+1}
1680,2,(2*2^2)!/(2^2)!,f{(2*2^2)!}{(2^2)!}
1680,3,3!!+3!!+3!!/3,3!!+3!!+f{3!!}3
1680,4,(√4*4)!/4!,f{(s4*4)!}{4!}
1680,5,(5!/5-5-5)*5!,(f{5!}5-5-5)*5!
1680,6,(6!+6!)/6+6!+6!,f{6!+6!}6+6!+6!
1680,7,7*7!/(7+7+7),7*f{7!}{7+7+7}
1680,8,8!/(√(8+8))!,f{8!}{(s{8+8})!}
1680,9,9!/(√9)!^√9,f{9!}{(s9)!^{s9}}
1681,1,1+(1+(1+1+1)!)!/(1+1+1),1+f{(1+(1+1+1)!)!}{1+1+1}
1681,2,(2*22-2-2/2)^2,(2*22-2-f22)^2
1681,3,3!!+3!!+(3+3!!)/3,3!!+3!!+f{3+3!!}3
1681,4,(4!+(√4*4)!)/4!,f{4!+(s4*4)!}{4!}
1681,5,5/5+(5!/5-5-5)*5!,f55+(f{5!}5-5-5)*5!
1681,6,(6+6!+6!)/6+6!+6!,f{6+6!+6!}6+6!+6!
1681,7,√(7*7^7)-7!/7,s{7*7^7}-f{7!}7
1681,8,8/8+8!/(√(8+8))!,f88+f{8!}{(s{8+8})!}
1681,9,√9/√9+9!/(√9)!^√9,f{s9}{s9}+f{9!}{(s9)!^{s9}}
1682,1,1+1+(1+(1+1+1)!)!/(1+1+1),1+1+f{(1+(1+1+1)!)!}{1+1+1}
1682,2,2+(2*2^2)!/(2^2)!,2+f{(2*2^2)!}{(2^2)!}
1682,3,(3!+3!!)/3+3!!+3!!,f{3!+3!!}3+3!!+3!!
1682,4,√4+(√4*4)!/4!,s4+f{(s4*4)!}{4!}
1682,5,5!+(√√5^(5!/5)-5)/(5+5),5!+f{s{s5}^{f{5!}5}-5}{5+5}
1682,6,(6+6)/6*((6+6!)/6+6!),f{6+6}6*(f{6+6!}6+6!)
1682,7,√(7*7^7)-(7!-7)/7,s{7*7^7}-f{7!-7}7
1682,8,√√(8+8)+8!/(√(8+8))!,s{s{8+8}}+f{8!}{(s{8+8})!}
1682,9,(√9)!/√9+9!/(√9)!^√9,f{(s9)!}{s9}+f{9!}{(s9)!^{s9}}
1683,1,1+1+1+(1+(1+1+1)!)!/(1+1+1),1+1+1+f{(1+(1+1+1)!)!}{1+1+1}
1683,2,2+(2*22-2-2/2)^2,2+(2*22-2-f22)^2
1683,3,3+3!!+3!!+3!!/3,3+3!!+3!!+f{3!!}3
1683,4,√4+(4!+(√4*4)!)/4!,s4+f{4!+(s4*4)!}{4!}
1683,5,5!+(5+√√5^(5!/5))/(5+5),5!+f{5+s{s5}^{f{5!}5}}{5+5}
1683,6,(6/√(6+6))^6+√6^6+6!+6!,(f6{s{6+6}})^6+s6^6+6!+6!
1683,7,√(7*7^7)-(7!-7-7)/7,s{7*7^7}-f{7!-7-7}7
1683,8,(√(8+8))!/8+8!/(√(8+8))!,f{(s{8+8})!}8+f{8!}{(s{8+8})!}
1683,9,√9+9!/(√9)!^√9,s9+f{9!}{(s9)!^{s9}}
1684,1,(1+1)*(11+111+(1+1+1)!!),(1+1)*(11+111+(1+1+1)!!)
1684,2,2+2+(2*2^2)!/(2^2)!,2+2+f{(2*2^2)!}{(2^2)!}
1684,3,3+3!!+3!!+(3+3!!)/3,3+3!!+3!!+f{3+3!!}3
1684,4,4+(√4*4)!/4!,4+f{(s4*4)!}{4!}
1684,5,5-5/5+(5!/5-5-5)*5!,5-f55+(f{5!}5-5-5)*5!
1684,6,(6+6)/6*((6+6+6!)/6+6!),f{6+6}6*(f{6+6+6!}6+6!)
1684,7,77+7!-(7!+(7+7)!/7!)/7!,77+7!-f{7!+f{(7+7)!}{7!}}{7!}
1684,8,√(8+8)+8!/(√(8+8))!,s{8+8}+f{8!}{(s{8+8})!}
1684,9,√9+√9/√9+9!/(√9)!^√9,s9+f{s9}{s9}+f{9!}{(s9)!^{s9}}
1685,1,(1+1+1)!-1+(1+(1+1+1)!)!/(1+1+1),(1+1+1)!-1+f{(1+(1+1+1)!)!}{1+1+1}
1685,2,(2+√(2^-2))*((2+(2+2)!)^2-2),(2+s{2^{-2}})*((2+(2+2)!)^2-2)
1685,3,3+(3!+3!!)/3+3!!+3!!,3+f{3!+3!!}3+3!!+3!!
1685,4,4+(4!+(√4*4)!)/4!,4+f{4!+(s4*4)!}{4!}
1685,5,5+(5!/5-5-5)*5!,5+(f{5!}5-5-5)*5!
1685,6,6+(6!-6+6!)/6+6!+6!,6+f{6!-6+6!}6+6!+6!
1685,7,77+7!-(7+7)!/7!/7!,77+7!-f{f{(7+7)!}{7!}}{7!}
1685,8,√(8+8)+8/8+8!/(√(8+8))!,s{8+8}+f88+f{8!}{(s{8+8})!}
1685,9,(√9)!/√9+√9+9!/(√9)!^√9,f{(s9)!}{s9}+s9+f{9!}{(s9)!^{s9}}
1686,1,(1+1+1)!+(1+(1+1+1)!)!/(1+1+1),(1+1+1)!+f{(1+(1+1+1)!)!}{1+1+1}
1686,2,2+2+2+(2*2^2)!/(2^2)!,2+2+2+f{(2*2^2)!}{(2^2)!}
1686,3,3!+3!!+3!!+3!!/3,3!+3!!+3!!+f{3!!}3
1686,4,√4+4+(√4*4)!/4!,s4+4+f{(s4*4)!}{4!}
1686,5,5+5/5+(5!/5-5-5)*5!,5+f55+(f{5!}5-5-5)*5!
1686,6,6+(6!+6!)/6+6!+6!,6+f{6!+6!}6+6!+6!
1686,7,7-7/7+7*7!/(7+7+7),7-f77+7*f{7!}{7+7+7}
1686,8,((√(8+8))!/8)!+8!/(√(8+8))!,(f{(s{8+8})!}8)!+f{8!}{(s{8+8})!}
1686,9,(√9)!+9!/(√9)!^√9,(s9)!+f{9!}{(s9)!^{s9}}
1687,1,((1+1)^(1+1))!^(1+1)+1111,((1+1)^{1+1})!^{1+1}+1111
1687,2,(2^2)!^2+2222/2,(2^2)!^2+f{2222}2
1687,3,3!+3!!+3!!+(3+3!!)/3,3!+3!!+3!!+f{3+3!!}3
1687,4,√4+4+(4!+(√4*4)!)/4!,s4+4+f{4!+(s4*4)!}{4!}
1687,5,5+5!+(√√5^(5!/5)-5)/(5+5),5+5!+f{s{s5}^{f{5!}5}-5}{5+5}
1687,6,6+(6+6!+6!)/6+6!+6!,6+f{6+6!+6!}6+6!+6!
1687,7,7+7*7!/(7+7+7),7+7*f{7!}{7+7+7}
1687,8,8-8/8+8!/(√(8+8))!,8-f88+f{8!}{(s{8+8})!}
1687,9,(√9+(√9)!!)*(√9-(√9)!/9),(s9+(s9)!!)*(s9-f{(s9)!}9)
1688,1,(1+1)^11-(1+1+1)!!/(1+1),(1+1)^{11}-f{(1+1+1)!!}{1+1}
1688,2,2*22^2+(2+2/2)!!,2*22^2+(2+f22)!!
1688,3,3!+(3!+3!!)/3+3!!+3!!,3!+f{3!+3!!}3+3!!+3!!
1688,4,4+4+(√4*4)!/4!,4+4+f{(s4*4)!}{4!}
1688,5,5+5!+(5+√√5^(5!/5))/(5+5),5+5!+f{5+s{s5}^{f{5!}5}}{5+5}
1688,6,√(6+6)^6-6!/(6+6+6),s{6+6}^6-f{6!}{6+6+6}
1688,7,7+√(7*7^7)-7!/7,7+s{7*7^7}-f{7!}7
1688,8,8+8!/(√(8+8))!,8+f{8!}{(s{8+8})!}
1688,9,(√9)!/√9+(√9)!+9!/(√9)!^√9,f{(s9)!}{s9}+(s9)!+f{9!}{(s9)!^{s9}}
1689,1,1+(1+1)^11-(1+1+1)!!/(1+1),1+(1+1)^{11}-f{(1+1+1)!!}{1+1}
1689,2,√2^22-((2+2/2)!!-2)/2,s2^{22}-f{(2+f22)!!-2}2
1689,3,3!!+3^3!+3!!/3,3!!+3^{3!}+f{3!!}3
1689,4,4+4+(4!+(√4*4)!)/4!,4+4+f{4!+(s4*4)!}{4!}
1689,5,(5!/5-5-5)*(5/5+5!)-5,(f{5!}5-5-5)*(f55+5!)-5
1689,6,√(6+6)^6-((6!+6!)/6-6)/6,s{6+6}^6-f{f{6!+6!}6-6}6
1689,7,7+√(7*7^7)-(7!-7)/7,7+s{7*7^7}-f{7!-7}7
1689,8,8/8+8+8!/(√(8+8))!,f88+8+f{8!}{(s{8+8})!}
1689,9,9+9!/(√9)!^√9,9+f{9!}{(s9)!^{s9}}
1690,1,(11-1)*(1+1+11)^(1+1),(11-1)*(1+1+11)^{1+1}
1690,2,(2+√(2^-2))*(2+(2+2)!)^2,(2+s{2^{-2}})*(2+(2+2)!)^2
1690,3,3!!+3^3!+(3+3!!)/3,3!!+3^{3!}+f{3+3!!}3
1690,4,√4+4+4+(√4*4)!/4!,s4+4+4+f{(s4*4)!}{4!}
1690,5,5+5+(5!/5-5-5)*5!,5+5+(f{5!}5-5-5)*5!
1690,6,(6+6)/6*(6+(6!-6)/6+6!),f{6+6}6*(6+f{6!-6}6+6!)
1690,7,7+√(7*7^7)-(7!-7-7)/7,7+s{7*7^7}-f{7!-7-7}7
1690,8,√√(8+8)+8+8!/(√(8+8))!,s{s{8+8}}+8+f{8!}{(s{8+8})!}
1690,9,(√9*(√9)!!+9!)/(√9)!^√9,f{s9*(s9)!!+9!}{(s9)!^{s9}}
1691,1,11+(1+(1+1+1)!)!/(1+1+1),11+f{(1+(1+1+1)!)!}{1+1+1}
1691,2,22/2+(2*2^2)!/(2^2)!,f{22}2+f{(2*2^2)!}{(2^2)!}
1691,3,(3!+3!!)/3+3!!+3^3!,f{3!+3!!}3+3!!+3^{3!}
1691,4,(4!-√4)/√4+(√4*4)!/4!,f{4!-s4}{s4}+f{(s4*4)!}{4!}
1691,5,55/5+(5!/5-5-5)*5!,f{55}5+(f{5!}5-5-5)*5!
1691,6,(66+6!+6!)/6+6!+6!,f{66+6!+6!}6+6!+6!
1691,7,77/7+7*7!/(7+7+7),f{77}7+7*f{7!}{7+7+7}
1691,8,88/8+8!/(√(8+8))!,f{88}8+f{8!}{(s{8+8})!}
1691,9,(√9)!/√9+9+9!/(√9)!^√9,f{(s9)!}{s9}+9+f{9!}{(s9)!^{s9}}
1692,1,11+1+(1+(1+1+1)!)!/(1+1+1),11+1+f{(1+(1+1+1)!)!}{1+1+1}
1692,2,2+(2+√(2^-2))*(2+(2+2)!)^2,2+(2+s{2^{-2}})*(2+(2+2)!)^2
1692,3,3!!+3^3*3!*3!,3!!+3^3*3!*3!
1692,4,4!/√4+(√4*4)!/4!,f{4!}{s4}+f{(s4*4)!}{4!}
1692,5,5!+5!+(5!+5!*5!)/(5+5),5!+5!+f{5!+5!*5!}{5+5}
1692,6,6*(66+√6^6),6*(66+s6^6)
1692,7,√(7*7^7)-(7!-77)/7,s{7*7^7}-f{7!-77}7
1692,8,√(8+8)+8+8!/(√(8+8))!,s{8+8}+8+f{8!}{(s{8+8})!}
1692,9,√9+9+9!/(√9)!^√9,s9+9+f{9!}{(s9)!^{s9}}
1693,1,11*11*(1+1+11+1)-1,11*11*(1+1+11+1)-1
1693,2,22/2+2+(2*2^2)!/(2^2)!,f{22}2+2+f{(2*2^2)!}{(2^2)!}
1693,3,3!!+(3!+(3*3!)^3)/3!,3!!+f{3!+(3*3!)^3}{3!}
1693,4,4!/√4+(4!+(√4*4)!)/4!,f{4!}{s4}+f{4!+(s4*4)!}{4!}
